Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.;;;out/21;set/21;ago/21;jul/21;jun/21;mai/21;abr/21;mar/21;fev/21;jan/21;dez/20;nov/20;out/20;set/20;ago/20;jul/20;jun/20;mai/20;abr/20;mar/20;fev/20;jan/20;dez/19;nov/19;out/19;set/19;ago/19;jul/19;jun/19;mai/19;abr/19;mar/19;fev/19;jan/19;dez/18;nov/18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.09.002 - EPOXI LUKS BASE C GL COM CATALIZADOR;UNIDA;4;4;4;R$ 963;0;2;50%;R$ 900;0;;R$ 63;0;700;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0;225;0;0;0;288;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - VERMELHO CONFIANTE - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;6;7;R$ 961;59;2;50%;R$ 594;36;;R$ 367;23;6178;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;54;0;0;0;0;52;97;0;0;419;51;188;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.11.001 - ROLO RESIMAX ATLAS 05 CM;UNIDA;69;65;98;R$ 960;37;2;50%;R$ 475;60;;R$ 484;77;10192;80%;;0;0;78;84;68;89;9;90;58;76;39;30;28;96;29;70;39;20;0;0;48;71;97;90;107;42;9;80;39;20;39;20;19;60;9;80;9;80;39;19;39;20;29;40;68;60;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.23.001 - EPOXI SUVINIL BANHEIRO E COZINHA   1/4;UNIDA;62;13;16;R$ 955;20;2;50%;R$ 498;87;;R$ 456;33;9147;30%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;70;238;80;298;50;179;10;0;0;59;70;119;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30.05.007 - POLISTEN TRANSPARENTE 1/4;UNIDA;22;22;24;R$ 954;61;2;50%;R$ 459;43;;R$ 495;18;10778;10%;;0;0;40;20;39;0;38;99;0;0;80;40;80;40;120;60;40;20;41;30;39;70;157;61;0;0;39;70;0;0;0;0;0;0;0;0;119;10;0;0;0;0;77;71;0;0;39;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - PLANO IDEAL - XY - SHERWIN - NOVO M-LTX ACR FS;LATA;1687;2;2;R$ 952;68;2;50%;R$ 656;36;;R$ 296;32;4514;60%;;0;0;0;0;0;0;0;0;0;0;952;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - CANARINHO - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;7;9;R$ 951;54;2;50%;R$ 585;0;;R$ 366;54;6265;60%;;0;0;0;0;0;0;48;51;0;0;0;0;0;0;0;0;213;24;0;0;689;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.03.004 - GRAFITE ESCURO NOVA COR 1/4;UNIDA;33;33;38;R$ 950;44;2;50%;R$ 559;42;;R$ 391;2;6989;70%;;33;50;0;0;28;50;57;0;0;0;118;30;1;75;102;63;50;80;0;0;0;0;0;0;0;0;0;0;27;90;139;46;55;80;27;90;0;0;55;80;27;90;0;0;55;80;27;90;27;90;0;0;0;0;27;90;83;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.09.003 - RESINA ECO SW LATA;UNIDA;3;3;3;R$ 950;20;2;50%;R$ 713;36;;R$ 236;84;3320;10%;;0;0;379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;292;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - BROTO DE FEIJAO - A2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;5;5;R$ 948;99;2;50%;R$ 685;56;;R$ 263;43;3842;60%;;0;0;0;0;186;29;0;0;0;0;0;0;0;0;463;43;0;0;0;0;0;0;0;0;131;34;49;44;118;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - SAFIRA CELESTE - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;4;5;R$ 948;17;2;50%;R$ 541;57;;R$ 406;60;7507;80%;;0;0;0;0;0;0;0;0;0;0;220;49;727;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - SIENA DELICADO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;3;4;R$ 947;58;2;50%;R$ 611;64;;R$ 335;94;5492;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;613;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.12.009 - ROLO LA ATLAS  MAXI LA 23 CM;UNIDA;16;16;21;R$ 945;32;2;50%;R$ 401;34;;R$ 543;98;13554;10%;;149;0;0;0;44;62;0;0;0;0;0;0;0;0;184;0;0;0;92;0;46;0;0;0;46;0;43;70;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;92;0;101;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
05.08.008 - VERNIZ SOLGARD ACETINADO 1/4;UNIDA;20;20;21;R$ 939;91;2;40%;R$ 499;71;;R$ 440;20;8809;10%;;116;0;187;30;169;11;0;0;86;20;43;10;86;20;42;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SH.000 - CASTELO EUROPEU - LANGUAGE OF COLORS - - DECORA MATTE FO;16L;231;3;4;R$ 936;10;2;40%;R$ 582;59;;R$ 353;51;6067;90%;;454;20;481;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - PEDRA DA ESTRELA - XY - SHERWIN - M-LTX REQUINTE SUPER;LATA;1687;2;2;R$ 935;75;2;40%;R$ 641;86;;R$ 293;89;4578;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;935;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99.99.998 - KIT 1/4 CIMENTO QUEIMADO NUVENS DE CHUVA;UNIDA;1;7;8;R$ 934;47;2;40%;R$ 637;60;;R$ 296;87;4656;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;338;80;595;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.180 - BASE W NOVO M-LTX ACR FS;LATA;3;3;4;R$ 930;11;2;40%;R$ 648;36;;R$ 281;75;4345;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;51;699;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.19.002 - MASSA PLASTICA CINZA IBERE 400 GR;UNIDA;53;53;65;R$ 926;23;2;40%;R$ 411;21;;R$ 515;2;12524;50%;;17;89;53;13;17;80;33;20;33;20;46;49;92;53;13;0;94;50;40;9;13;50;80;54;53;50;13;50;0;0;67;26;27;0;27;0;27;0;13;50;53;60;27;0;27;0;40;50;0;0;0;0;0;0;13;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - TERRA ROXA - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;10;13;R$ 922;8;2;40%;R$ 629;26;;R$ 292;82;4653;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;38;0;0;502;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;10;0;0;138;30;0;0;0;0;0;0;0;0;83;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16.03.019 - LIXA DE FERRO 100;UNIDA;88;83;310;1;R$ 917;26;2;40%;R$ 409;;50;R$ 507;76;12399;50%;;49;50;22;50;118;40;115;10;54;88;58;0;23;20;110;20;28;83;11;39;20;30;82;20;23;20;17;40;36;92;60;90;5;80;40;60;0;0;8;91;5;80;5;83;14;50;2;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZZ.SW.000 - CINZA INTELECTUAL - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;7;8;R$ 916;32;2;40%;R$ 541;27;;R$ 375;5;6929;10%;;0;0;0;0;0;0;175;1;175;1;0;0;0;0;0;0;0;0;0;0;0;0;46;54;311;2;0;0;0;0;0;0;39;90;0;0;0;0;0;0;128;94;0;0;39;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - CINZA PERFEITO - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;4;4;R$ 911;76;2;40%;R$ 574;5;;R$ 337;71;5882;90%;;746;81;53;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.01.046 - BORRIFADOR 500ML;UNIDA;68;68;77;R$ 909;87;2;40%;R$ 392;70;;R$ 517;17;13169;60%;;0;0;12;0;0;0;0;0;36;11;36;0;35;59;24;0;48;0;36;0;36;0;72;0;71;83;72;0;119;62;108;0;202;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - PRATA - MARMOR - SELFCOLOR - MASSA PARA EFEITOS /;2.88L;1574;5;7;R$ 908;80;2;40%;R$ 533;11;;R$ 375;69;7047;10%;;0;0;0;0;149;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;758;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.23.005 - NOVA COR PISO AMARELO LT;UNIDA;4;4;4;R$ 903;45;2;30%;R$ 789;85;;R$ 113;60;1438;20%;;0;0;0;0;0;0;147;95;295;90;0;0;0;0;0;0;0;0;0;0;0;0;219;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30.05.014 - VERNIZ POLIULACK ACETINADO GL;UNIDA;6;6;8;R$ 901;10;2;30%;R$ 528;60;;R$ 372;50;7046;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;0;0;0;224;60;112;30;336;90;112;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - MEL - B2 - READY MIX - FOSCO COMPLETO;16L;1574;2;2;R$ 900;0;2;30%;R$ 681;98;;R$ 218;2;3196;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;0;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.02.007 - CORANTE BISNAGA PRETO;UNIDA;130;130;156;R$ 894;19;2;30%;R$ 425;39;;R$ 468;80;11020;50%;;6;50;45;24;19;50;38;81;32;50;32;31;38;81;38;80;25;1;31;47;63;0;43;90;50;2;43;70;58;25;52;67;0;0;24;50;34;30;14;70;9;80;44;10;14;70;24;50;39;5;9;80;0;0;39;5;19;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - CINZA CONECTADO - Z - SHERWIN - NOVO M-LTX ACR FS;LATA;1687;2;2;R$ 893;31;2;30%;R$ 613;62;;R$ 279;69;4558;0%;;0;0;0;0;0;0;0;0;0;0;490;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - BOLA DE NEVE - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;3;5;R$ 892;31;2;30%;R$ 702;65;;R$ 189;66;2699;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;87;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;592;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.05.008 - CROMANIL ACR FOSCO ANIL INTENSO (3) GL;UNIDA;138;3;3;R$ 890;15;2;30%;R$ 177;0;;R$ 713;15;40291;0%;;890;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.15.030 - TRINCHA ATLAS AT415  2;UNIDA;40;40;47;R$ 889;58;2;30%;R$ 223;45;;R$ 666;13;29811;10%;;0;0;19;9;19;34;135;66;18;80;38;76;19;38;36;63;37;22;94;50;37;80;0;0;55;57;36;66;18;90;75;57;18;90;0;0;0;0;18;90;18;90;56;70;56;70;18;90;0;0;56;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.15.004 - LONA PLASTICA PRETA 4X50MT FINA;UNIDA;6;6;6;R$ 888;0;2;30%;R$ 492;0;;R$ 396;0;8048;80%;;300;0;150;0;0;0;142;50;0;0;295;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.03.019 - TEK BOND ADES INST 793 20 G;UNIDA;69;68;74;R$ 886;86;2;30%;R$ 422;54;;R$ 464;32;10988;80%;;40;52;13;50;54;6;67;39;118;19;38;32;51;21;36;0;23;64;0;0;36;0;12;0;46;0;48;0;36;0;0;0;0;0;72;0;24;0;24;0;59;88;62;15;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - BRINDE A VIDA - Z - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;2;2;R$ 880;89;2;30%;R$ 365;11;;R$ 515;78;14126;70%;;0;0;0;0;0;0;0;0;0;0;226;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;654;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - ESPUMA GELADA - A2 - SELFCOLOR - TOQUE DE SEDA;16L;1574;3;3;R$ 880;18;2;30%;R$ 658;61;;R$ 221;57;3364;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;87;160;89;0;0;553;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10.03.003 - PRIMER EPOXI UNIVERSAL BRAZILIAN GL;UNIDA;12;6;7;R$ 879;62;2;30%;R$ 426;28;;R$ 453;34;10634;80%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;374;26;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;36;0;0;0;0;112;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.086 - TEXTURA CROMANIL RELEVO C/ GLITTER LT;UNIDA;1;1;1;R$ 878;0;2;30%;R$ 88;44;;R$ 789;56;89276;30%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - POLPA DE CACAU - A2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;2;2;R$ 876;54;2;30%;R$ 650;92;;R$ 225;62;3466;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431;60;444;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.05.004 - ESMALTE METALATEX ECO BRILH BRANCO 1/4;UNIDA;24;24;24;R$ 874;95;2;30%;R$ 445;45;;R$ 429;50;9641;90%;;0;0;0;0;0;0;77;80;77;60;38;90;69;63;0;0;0;0;31;90;0;0;0;0;31;90;36;60;69;92;0;0;73;20;0;0;73;20;35;50;73;20;36;60;36;60;0;0;74;50;0;0;0;0;37;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.18.001 - MASSA CORRIDA PVA SUVINIL 1/4;UNIDA;65;65;65;R$ 870;18;2;30%;R$ 433;95;;R$ 436;23;10052;50%;;19;82;106;86;17;90;71;60;0;0;16;0;31;99;29;0;57;51;28;45;72;9;89;76;14;50;14;50;38;84;67;26;65;40;19;80;0;0;0;0;9;90;0;0;19;80;19;80;39;60;0;0;0;0;0;0;19;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
05.08.004 - VERNIZ SPARLACK MARITIMO FOSCO 1/4;UNIDA;24;24;25;R$ 864;75;2;20%;R$ 456;66;;R$ 408;9;8936;40%;;40;0;72;90;0;0;255;92;171;30;32;90;65;80;131;60;94;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.100 - LUMINUZ ROSA GL;UNIDA;3;3;4;R$ 862;76;2;20%;R$ 756;0;;R$ 106;76;1412;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;51;0;0;0;0;0;0;451;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - BEGE PRATICO - XY - SHERWIN - NOVO M-LTX ACR FS;LATA;1687;3;4;R$ 862;37;2;20%;R$ 639;77;;R$ 222;60;3479;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;78;0;0;0;0;0;0;787;31;0;0;0;0;0;0;0;0;0;0;0;0;35;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.15.002 - TRINCHA ATLAS 319   3/4;UNIDA;152;152;174;R$ 861;60;2;20%;R$ 280;28;;R$ 581;32;20740;70%;;11;62;48;57;20;70;48;66;24;50;14;49;34;15;49;0;48;81;14;70;14;60;39;5;9;68;24;21;28;90;148;24;29;40;50;0;19;83;19;60;34;12;30;19;29;98;9;80;39;20;9;80;0;0;4;90;4;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - ALTAS HORAS - C2 - SELFCOLOR - ESMALTE COR & PROTEC;3.2L;1574;1;4;R$ 860;0;2;20%;R$ 692;12;;R$ 167;88;2425;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.05.013 - CROMANIL ACR FOSCO FLUOR 1/4;UNIDA;13;4;7;R$ 857;87;2;20%;R$ 350;0;;R$ 507;87;14510;60%;;857;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
27.01.022 - SPRAY  COLORART PRETO FOSCO;UNIDA;32;32;43;R$ 855;10;2;20%;R$ 373;48;;R$ 481;62;12895;50%;;0;0;0;0;0;0;0;0;0;0;0;0;99;50;337;70;79;60;19;90;99;50;119;40;0;0;0;0;0;0;19;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;90;59;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.11.009 - SUVINIL ACR FSC BASE C LATA;UNIDA;2;2;3;R$ 855;0;2;20%;R$ 553;50;;R$ 301;50;5447;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
05.08.001 - REMOVEDOR GEL ANJO 1 KG;UNIDA;39;21;21;R$ 852;80;2;20%;R$ 312;43;;R$ 540;37;17295;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;84;0;210;0;0;0;126;0;42;0;0;0;74;0;37;80;0;0;0;0;0;0;78;0;0;0;78;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
05.08.001 - REMOVEDOR GEL ALABASTINE 1 KG;UNIDA;39;18;20;R$ 852;0;2;20%;R$ 354;95;;R$ 497;5;14003;40%;;0;0;140;79;45;97;0;0;163;76;168;0;42;0;0;0;84;0;123;48;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - JEANS LAVADO - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;7;8;R$ 849;63;2;20%;R$ 572;5;;R$ 277;58;4852;40%;;0;0;0;0;0;0;0;0;193;0;0;0;0;0;0;0;0;0;0;0;0;0;247;87;0;0;0;0;0;0;104;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
02.06.002 - ROLO TEXTURA VERMELHO 23 CM 1823;UNIDA;26;26;28;R$ 849;12;2;20%;R$ 375;77;;R$ 473;35;12596;80%;;107;70;71;80;35;90;0;0;0;0;0;0;0;0;35;90;143;52;28;90;0;0;114;70;28;90;0;0;28;90;28;90;0;0;28;0;0;0;28;0;56;0;0;0;28;0;0;0;0;0;0;0;0;0;56;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - OVELHA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;5;5;R$ 848;98;2;20%;R$ 559;81;;R$ 289;17;5165;50%;;52;38;0;0;0;0;0;0;0;0;131;13;0;0;0;0;0;0;0;0;0;0;0;0;665;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - BIANCO SERENO - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;7;7;R$ 843;78;2;20%;R$ 531;25;;R$ 312;53;5882;90%;;0;0;0;0;0;0;302;7;0;0;0;0;0;0;0;0;37;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403;80;0;0;0;0;100;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.064 - TEXTURA CROMANIL  TURQUESA GL;UNIDA;4;4;4;R$ 843;5;2;20%;R$ 274;70;;R$ 568;35;20689;80%;;0;0;204;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;70;0;0;0;0;0;0;210;0;0;0;0;0;0;0;229;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - PO DE ZINCO - B2 - SELFCOLOR - ESMALTE COR & PROTEC;3.2L;1574;1;7;R$ 840;69;2;20%;R$ 636;79;;R$ 203;90;3202;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;840;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.038 - TEXTURA CROMANIL  ESPECIARIAS GL;UNIDA;5;5;5;R$ 840;56;2;20%;R$ 474;40;;R$ 366;16;7718;40%;;0;0;110;0;0;0;0;0;0;0;131;46;0;0;0;0;0;0;199;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
