Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.;;;out/21;set/21;ago/21;jul/21;jun/21;mai/21;abr/21;mar/21;fev/21;jan/21;dez/20;nov/20;out/20;set/20;ago/20;jul/20;jun/20;mai/20;abr/20;mar/20;fev/20;jan/20;dez/19;nov/19;out/19;set/19;ago/19;jul/19;jun/19;mai/19;abr/19;mar/19;fev/19;jan/19;dez/18;nov/18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.09.003 - FITA CREPE  48 X 50 MM;UNIDA;1512;1513;2604;R$ 33.018;53;85;80%;R$ 14.706;42;;R$ 18.312;11;12451;80%;;803;19;1411;32;1977;0;1189;88;1194;94;1122;43;1496;39;1379;19;1302;11;773;65;1170;56;1034;91;824;60;1338;45;1088;47;1160;5;1795;34;1360;91;1045;52;908;57;772;83;1258;28;1204;3;1124;94;1471;18;344;81;100;79;1583;90;780;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.026 - TEXTURA CROMANIL   TRADICIONAL  GL;UNIDA;922;123;143;R$ 31.840;39;82;70%;R$ 6.150;15;;R$ 25.690;24;41771;70%;;969;0;3415;41;2079;94;2408;12;4715;55;3913;89;8495;18;4986;51;856;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.003 - KIT CIMENTO QUEIMADO GL + VERNIZ;UNIDA;102;92;105;R$ 29.470;99;76;60%;R$ 29.368;50;;R$ 102;49;34;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;559;40;0;0;1118;14;839;10;559;40;6831;62;11448;73;8114;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.041 - TEXTURA CROMANIL  GAROA GL;UNIDA;128;128;140;R$ 29.226;24;75;90%;R$ 10.488;0;;R$ 18.738;24;17866;40%;;255;0;1190;40;255;0;645;72;1105;80;727;60;882;10;1245;10;1281;21;599;10;1767;61;1811;6;2;0;1000;21;2572;60;2951;89;2061;13;880;28;856;33;1093;77;199;70;867;77;2372;21;876;35;927;50;199;70;0;0;199;70;399;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.07.002 - ESMALTE FLUOR ECO GL;UNIDA;61;35;69;R$ 28.290;72;73;50%;R$ 22.306;0;;R$ 5.984;72;2683;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2414;0;5103;14;1297;12;0;0;10467;30;5187;0;813;71;1347;60;1660;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.025 - TEXTURA CROMANIL   TRADICIONAL  1/4;UNIDA;1662;241;283;R$ 28.011;54;72;80%;R$ 4.131;80;;R$ 23.879;74;57795;0%;;2804;15;2451;0;3069;90;2983;31;2832;36;4325;12;4658;97;4630;74;255;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.09.010 - VERNIZ ACRILICO FOSCO CROMANIL 900 ML;900ML;1004;755;877;R$ 27.539;59;71;60%;R$ 9.249;87;;R$ 18.289;72;19772;90%;;151;32;214;71;144;57;107;40;180;0;280;5;141;12;96;52;161;21;399;56;297;8;289;94;371;51;327;63;2614;23;4267;66;5833;28;5434;23;4187;2;1921;55;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12.03.003 - LATEX CORAL RENDE MUITO LT;UNIDA;86;85;100;R$ 27.442;63;71;30%;R$ 19.931;98;;R$ 7.510;65;3768;10%;;0;0;1371;84;588;38;1481;51;879;70;1111;20;1668;16;1657;32;2499;50;289;0;2890;0;2881;33;1156;0;0;0;0;0;0;0;0;0;749;70;492;55;999;60;1495;11;0;0;499;80;1708;25;1529;50;251;93;0;0;492;55;749;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.022 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO 1/4;UNIDA;304;246;312;R$ 27.055;66;70;30%;R$ 13.697;55;;R$ 13.358;11;9752;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427;38;1270;42;971;23;483;45;954;1;395;31;819;90;2662;31;4888;40;3808;62;3276;10;806;48;398;50;714;99;1175;55;1035;79;817;71;318;80;79;70;874;31;876;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.114 - KIT 1/4 CIMENTO QUEIMADO TRADICIONAL;UNIDA;189;189;220;R$ 26.156;99;68;0%;R$ 22.990;0;;R$ 3.166;99;1377;60%;;255;51;579;0;376;35;694;80;559;37;228;33;362;20;219;40;541;51;425;27;104;50;832;86;725;22;939;50;1111;99;6566;76;4420;30;5904;36;1309;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.05.008 - CROMANIL FSC ANIL INTENSO 3 GL;UNIDA;138;71;92;R$ 24.965;85;64;90%;R$ 9.013;24;;R$ 15.952;61;17699;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2701;87;2143;25;1066;59;540;0;1078;86;1081;0;1595;70;3781;75;3235;57;2137;10;1080;0;2033;20;1950;96;270;0;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.11.010 - SUVINIL ACRILICO FOSCO BRANCO GL;UNIDA;152;152;179;R$ 23.578;23;61;30%;R$ 16.180;76;;R$ 7.397;47;4571;80%;;1559;89;634;69;1415;20;887;17;1014;58;829;95;559;17;1121;47;386;70;773;40;773;40;1420;64;1030;96;1446;71;729;0;1202;51;810;4;0;0;545;60;566;54;666;20;1075;41;817;40;1152;20;864;40;120;40;0;0;601;60;573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.09.012 - VERNIZ ACRILICO FOSCO CROMANIL 18 LTS;UNIDA;41;30;57;R$ 20.776;77;54;0%;R$ 7.974;40;;R$ 12.802;37;16054;30%;;4190;83;3119;20;768;10;3925;0;1949;50;0;0;0;0;0;0;345;50;319;91;1649;0;299;0;1169;6;885;10;216;30;299;0;878;0;763;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.02.001 - CORANTE  DE MAQUINA;UNIDA;442;443;28534;35;R$ 20.471;65;53;20%;R$ 3.174;;90;R$ 17.296;75;54479;70%;;1253;31;1189;96;998;46;2330;62;684;70;815;42;232;86;232;59;105;51;258;78;155;9;737;4;2277;57;807;72;417;72;405;97;476;52;489;95;80;91;664;63;398;5;213;78;416;58;533;56;608;49;124;0;0;0;467;88;3093;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.99.998 - KIT CIMENTO QUEIMADO GL TRADICIONAL;UNIDA;1;63;67;R$ 20.096;61;52;20%;R$ 18.409;86;;R$ 1.686;75;916;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3262;68;3293;70;3008;52;4792;12;4620;79;1118;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.04.004 - ESMALTE METALATEX ECO ACET BRANCO GL;UNIDA;117;117;166;R$ 18.583;89;48;30%;R$ 11.410;90;;R$ 7.172;99;6286;10%;;147;90;1618;68;530;93;933;80;245;26;615;9;619;98;124;52;985;80;436;4;324;20;972;31;325;88;1491;40;109;50;219;0;1936;0;196;80;612;74;299;70;990;18;934;10;1156;51;274;40;1262;70;0;0;0;0;812;57;407;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.119 - KIT GL CIMENTO QUEIMADO TRADICIONAL CLARO;UNIDA;60;60;64;R$ 18.438;58;47;90%;R$ 17.900;80;;R$ 537;78;300;40%;;305;50;296;33;305;50;296;33;0;0;0;0;1194;3;463;70;640;70;1696;0;1102;2;0;0;1653;3;1099;23;941;58;1520;26;2892;69;3690;4;341;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.005 - KIT CIMENTO QUEIMADO LT + VERNIZ;UNIDA;18;15;17;R$ 18.181;17;47;20%;R$ 18.309;0;;-R$ 127;83;-69;80%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1077;0;7495;92;4249;41;2127;84;0;0;1077;0;2154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.18.003 - MASSA CORRIDA PVA SUVINIL LT;UNIDA;143;143;223;R$ 18.176;74;47;20%;R$ 13.904;14;;R$ 4.272;60;3072;90%;;105;0;964;14;854;98;107;90;431;57;269;70;359;60;819;41;976;1;2232;37;855;72;1115;30;399;50;639;20;559;30;477;80;389;0;0;0;156;60;84;55;1179;51;479;40;641;63;2067;65;1368;30;79;90;0;0;0;0;562;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.11.001 - METALATEX FSC  BRANCO GL;UNIDA;138;138;154;R$ 17.330;1;45;0%;R$ 10.037;92;;R$ 7.292;9;7264;50%;;299;80;308;13;811;57;0;0;535;44;529;83;881;30;755;40;249;80;745;65;499;60;495;85;620;12;584;20;960;30;746;89;463;90;99;90;0;0;299;70;691;40;614;70;1601;40;245;20;1917;39;398;62;0;0;989;76;984;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.030 - TEXTURA CROMANIL  CORES CLARAS LT;UNIDA;12;12;21;R$ 17.207;85;44;70%;R$ 4.194;0;;R$ 13.013;85;31029;70%;;0;0;1631;42;849;90;5294;17;0;0;0;0;0;0;0;0;798;0;2314;20;0;0;0;0;2330;16;0;0;0;0;0;0;1596;0;0;0;798;0;0;0;1596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
35.01.006 - MASSA CORRIDA PVA UNIVERSO LATA 25KG;LATA;85;85;246;R$ 16.996;96;44;20%;R$ 9.933;43;;R$ 7.063;53;7110;90%;;683;10;756;72;666;99;4038;60;6815;19;955;84;492;71;1752;51;419;30;0;0;236;30;179;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.13.010 - SUVINIL LATEX PVA MAX BRANCO LT;UNIDA;44;44;50;R$ 16.748;77;43;50%;R$ 12.682;16;;R$ 4.066;61;3206;60%;;0;0;397;0;397;0;397;0;1973;85;701;75;356;22;1656;31;1342;86;966;60;1292;89;976;51;320;0;320;0;979;80;0;0;654;34;0;0;319;90;0;0;0;0;0;0;626;80;1280;44;329;90;300;0;0;0;289;90;869;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.117 - KIT GL CIMENTO QUEIMADO NUVENS DE CHUVA;UNIDA;53;53;53;R$ 16.114;15;41;90%;R$ 14.824;10;;R$ 1.290;5;870;20%;;341;60;0;0;305;50;1222;0;601;84;0;0;0;0;278;10;0;0;844;50;271;31;551;1;559;40;839;10;0;0;1735;62;3040;69;5199;58;323;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.23.010 - NOVA COR PISO BRANCO LT;UNIDA;52;52;60;R$ 15.650;82;40;70%;R$ 11.432;22;;R$ 4.218;60;3690;10%;;677;60;690;80;591;82;0;0;295;91;287;2;0;0;189;90;441;80;1071;50;1071;51;258;90;539;80;801;60;801;60;809;70;2289;42;241;63;0;0;747;30;249;10;1449;91;498;20;0;0;479;40;0;0;0;0;479;40;687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.05.021 - CROMANIL FSC BRANCO LATA;UNIDA;220;55;61;R$ 15.310;30;39;80%;R$ 7.625;0;;R$ 7.685;30;10079;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2748;90;2035;34;1273;51;1265;71;2754;18;1963;13;1728;33;1541;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.040 - TEXTURA CROMANIL  GAROA 1/4;UNIDA;143;143;176;R$ 15.120;87;39;30%;R$ 5.303;20;;R$ 9.817;67;18512;70%;;307;0;591;25;375;81;609;60;169;80;106;0;94;0;1145;17;44;8;338;80;238;90;159;40;557;90;318;80;1207;84;2226;78;1377;1;936;4;896;55;312;1;603;45;361;47;877;82;191;40;276;99;79;70;239;10;239;10;239;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.042 - TEXTURA CROMANIL  GAROA LT;UNIDA;17;17;19;R$ 15.081;1;39;20%;R$ 6.588;80;;R$ 8.492;21;12888;90%;;0;0;1713;22;1782;74;1713;22;0;0;0;0;0;0;0;0;0;0;0;0;798;0;598;30;0;0;0;0;1133;40;3371;62;0;0;798;0;0;0;0;0;0;0;0;0;0;0;839;22;766;8;0;0;0;0;0;0;1567;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99.99.998 - KIT CIMENTO QUEIMADO GL + CLARO;UNIDA;1;41;52;R$ 14.896;70;38;70%;R$ 14.544;40;;R$ 352;30;242;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1604;91;1658;62;839;10;2927;81;5123;17;2743;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.09.011 - VERNIZ ACRILICO FOSCO CROMANIL 3;6 LTS;UNIDA;188;138;162;R$ 14.697;79;38;20%;R$ 5.843;;71;R$ 8.854;8;15151;50%;;355;50;574;33;844;0;778;73;105;50;272;6;105;50;191;80;249;88;189;70;176;20;429;0;587;35;85;0;1196;63;1577;42;2257;70;1724;25;1583;56;1413;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.15.001 - LONA PLASTICA PRETA  1X4MT;UNIDA;602;603;3148;R$ 14.202;17;36;90%;R$ 5.768;45;;R$ 8.433;72;14620;40%;;324;1;987;54;995;11;930;65;696;25;705;62;425;79;620;3;537;22;599;22;322;8;565;81;486;38;681;14;588;65;507;28;334;49;322;95;451;44;325;14;179;40;555;41;445;60;349;63;494;3;89;82;11;60;361;13;308;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.053 - TEXTURA CROMANIL  NUVENS DE CHUVA LT;UNIDA;21;21;19;R$ 14.142;45;36;70%;R$ 6.088;0;;R$ 8.054;45;13230;0%;;950;0;849;90;0;0;1436;91;815;35;0;55;0;0;0;0;0;0;823;0;2379;10;774;6;1569;26;0;0;0;0;0;0;0;0;0;0;0;0;1556;10;0;0;0;0;-1596;0;3168;6;798;0;618;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.024 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO LATA;UNIDA;13;11;19;R$ 14.133;85;36;70%;R$ 6.786;0;;R$ 7.347;85;10828;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1571;42;0;0;0;0;1;0;0;0;0;0;3192;0;3714;29;0;0;0;0;0;0;0;0;2394;0;0;0;0;0;798;0;1697;6;0;0;0;0;766;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.15.003 - MASSA ACRILICA METALATEX LT;UNIDA;73;73;107;R$ 14.102;29;36;60%;R$ 10.391;8;;R$ 3.711;21;3571;50%;;635;60;325;5;154;90;0;62;152;50;0;0;972;40;286;0;679;50;129;10;267;72;1595;91;0;0;650;53;512;34;249;71;385;5;509;60;127;40;1142;77;2030;58;248;86;382;20;0;0;1049;60;0;0;534;35;135;0;945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.07.002 - ESMALTE FLUOR ECO LARANJA NOVO 3;6 LTS;UNIDA;61;22;32;R$ 13.544;47;35;20%;R$ 6.080;;0;R$ 7.464;47;12277;10%;;0;0;0;0;0;0;0;0;1812;51;0;0;0;0;1275;76;1596;0;0;0;0;0;399;0;3022;30;1725;86;0;0;840;50;1245;61;828;93;798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.05.008 - LATEX ACR FOSCO CROMANIL ANIL INTENSO (3) GL;UNIDA;138;41;47;R$ 13.348;64;34;70%;R$ 3.240;62;;R$ 10.108;2;31191;60%;;593;30;2897;10;2534;48;2835;0;1091;50;1404;44;1992;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.009 - TEXTURA CROMANIL   LT 18;UNIDA;12;12;18;R$ 13.330;69;34;60%;R$ 1.768;79;;R$ 11.561;90;65366;20%;;2793;0;0;0;0;0;0;0;0;0;849;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;773;26;0;0;0;0;1485;86;798;0;0;0;0;0;598;0;4436;67;0;0;0;0;0;0;0;0;0;0;0;0;1596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
