Produtos,Embal,Operacoeses_Comerciais,Itens_Vendidos,Quantidade,Valor,% Part.,Custo_Total,Lucrativo-%,Lucrativo-$
13.09.011 - VERNIZ ACRILICO FOSCO CROMANIL 3,6 LTS,UNIDA,188.00,138.00,162.00,"14,697.00",79.00,38,0.20
25.15.001 - LONA PLASTICA PRETA  1X4MT,UNIDA,602.00,603.00,"3,148.00","14,202.00",17.00,36.00,90%,"5,768.00"
13.07.053 - TEXTURA CROMANIL  NUVENS DE CHUVA LT,UNIDA,21.00,21.00,19.00,"14,142.00",45.00,36.00,70%,"6,088.00"
13.07.024 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO LATA,UNIDA,13.00,11.00,19.00,"14,133.00",85.00,36.00,70%,"6,786.00"
31.15.003 - MASSA ACRILICA METALATEX LT,UNIDA,73.00,73.00,107.00,"14,102.00",29.00,36.00,60%,"10,391.00"
25.07.002 - ESMALTE FLUOR ECO LARANJA NOVO 3,6 LTS,UNIDA,61.00,22.00,32.00,"13,544.00",47.00,35,0.20
13.05.008 - LATEX ACR FOSCO CROMANIL ANIL INTENSO (3) GL,UNIDA,138.00,41.00,47.00,"13,348.00",64.00,34.00,70%,"3,240.00"
13.07.009 - TEXTURA CROMANIL   LT 18,UNIDA,12.00,12.00,18.00,"13,330.00",69.00,34.00,60%,"1,768.00"
31.16.003 - MASSA CORRIDA PVA METALATEX LT,UNIDA,109.00,109.00,176.00,"13,260.00",66.00,34.00,50%,"9,583.00"
15.03.014 - VALE EM COMPRAS,UNIDA,148.00,148.00,148.00,"12,818.00",12.00,33.00,30%,"12,675.00"
13.07.023 - TEXTURA CROMANIL   TRADICIONAL CLARO GL,UNIDA,254.00,50.00,58.00,"12,500.00",25.00,32.00,50%,"2,329.00"
31.11.028 - NOVA COR ACRILICO FOSCO BRANCO LT 380M|,UNIDA,63.00,50.00,53.00,"12,201.00",25.00,31.00,70%,"8,089.00"
13.05.020 - LATEX ACR FOSCO CROMANIL BRANCO GL,UNIDA,224.00,119.00,150.00,"12,175.00",86.00,31.00,60%,"4,854.00"
13.05.009 - CROMANIL FSC ANIL 3 LT,UNIDA,51.00,10.00,12.00,"11,836.00",0.00,30.00,80%,"5,351.00"
13.05.018 - CROMANIL CHROMA KEY VERDE LATA,UNIDA,11.00,6.00,11.00,"11,800.00",0.00,30.00,70%,"4,905.00"
13.07.077 - TEXTURA CROMANIL RELEVO ANIL  LT,UNIDA,11.00,11.00,12.00,"11,541.00",35.00,30.00,0%,"1,548.00"
13.05.021 - CROMANIL ACR FOSCO PREMIUM BRANCO LT,UNIDA,220.00,18.00,37.00,"11,496.00",98.00,29.00,90%,"5,925.00"
20.02.005 - ESMALTE LUKS FOSCO BRANCO BASE AGUA GL,UNIDA,90.00,90.00,105.00,"11,253.00",93.00,29.00,20%,"6,732.00"
25.09.002 - FITA CREPE  25 X 50 MM,UNIDA,787.00,787.00,"1,533.00","11,222.00",56.00,29.00,20%,"4,492.00"
99.99.998 - KIT CIMENTO QUEIMADO 1/4 TRADICIONAL,UNIDA,1.00,83.00,88.00,"11,104.00",59.00,28.00,90%,"9,000.00"
14.01.001 - TEXTURA CRISTALINE CORES MEDIAS DECOR E ART 25KG,UNIDA,2.00,2.00,68.00,"10,569.00",0.00,27.00,50%,"3,685.00"
25.15.003 - LONA PLASTICA PRETA 4X50MT,UNIDA,79.00,79.00,87.00,"9,888.00",57.00,25.00,70%,"7,025.00"
13.07.027 - TEXTURA CROMANIL   TRADICIONAL  LATA,UNIDA,48.00,5.00,13.00,"9,867.00",56.00,25.00,60%,"2,586.00"
99.99.998 - KIT GL CIMENTO QUEIMADO TRADICIONAL,UNIDA,1.00,31.00,32.00,"9,854.00",11.00,25.00,60%,"3,669.00"
10.03.001 - EPOXI BRANCO BRAZILIAN GL,UNIDA,44.00,33.00,52.00,"9,826.00",11.00,25.00,50%,"4,003.00"
20.08.008 - AGUA RAZ LUKS 900ML,UNIDA,499.00,499.00,578.00,"9,779.00",88.00,25.00,40%,"4,381.00"
13.07.113 - KIT 1/4 CIMENTO QUEIMADO NUVENS DE CHUVA,UNIDA,70.00,70.00,78.00,"9,468.00",40.00,24.00,60%,"8,151.00"
02.01.021 - KIT COMPEL ANTI RESPINGO N§ 8,UNIDA,351.00,296.00,311.00,"9,299.00",12.00,24.00,20%,"2,342.00"
13.07.001 - KIT CIMENTO QUEIMADO 1/4 + VERNIZ 1/4,UNIDA,84.00,80.00,89.00,"9,298.00",2.00,24.00,20%,"9,286.00"
25.07.001 - ESMALTE FLUOR ECO 1/4,UNIDA,48.00,44.00,72.00,"9,063.00",2.00,23.00,50%,"5,640.00"
35.01.013 - UNIVERSO ACRILICO FOSCO PREMIUM TERRACOTA  LATA,LATA,1.00,1.00,30.00,"8,910.00",0.00,23.00,20%,"5,870.00"
13.09.010 - VERNIZ ACRILICO FOSCO ACET CROMANIL 1/4,UNIDA,"1,004.00",249.00,301.00,"8,870.00",57.00,23.00,0%,"1,661.00"
25.17.003 - MASSA ACRILICA SUVINIL LT,UNIDA,33.00,33.00,54.00,"8,858.00",63.00,23.00,0%,"6,643.00"
12.03.002 - LATEX CORAL RENDE MUITO GL,UNIDA,97.00,97.00,108.00,"8,759.00",28.00,22.00,80%,"5,153.00"
13.02.006 - CROMANIL ESMALTE ACET ANIL INTENSO (3) GL,UNIDA,31.00,22.00,26.00,"8,675.00",19.00,22.00,50%,"2,210.00"
ZZ.SV.000 - CROMIO - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",37.00,43.00,"8,523.00",72.00,22.00,10%,"5,868.00"
13.05.008 - CROMANIL FSC ANIL 3 GL,UNIDA,138.00,23.00,31.00,"8,350.00",32.00,21.00,70%,"3,037.00"
18.01.003 - RESINA HYDRONORTHY  FOSCA LT,UNIDA,12.00,12.00,16.00,"8,238.00",15.00,21.00,40%,"5,377.00"
13.07.074 - TEXTURA CROMANIL RELEVO  LT 18,UNIDA,6.00,6.00,10.00,"8,078.00",26.00,21.00,0%,"1,000.00"
13.09.012 - VERNIZ ACRILICO FOSCO ACET CROMANIL LATA,UNIDA,41.00,11.00,27.00,"8,034.00",96.00,20.00,90%,"3,025.00"
13.02.006 - CROMANIL ESMALTE ACET ANIL 3 GL,UNIDA,31.00,9.00,24.00,"7,838.00",95.00,20.00,40%,"2,040.00"
13.07.098 - LUMINUZ PRATA GL,UNIDA,41.00,41.00,46.00,"7,697.00",37.00,20.00,0%,"7,346.00"
13.05.009 - LATEX ACR FOSCO CROMANIL ANIL INTENSO (3) LT,UNIDA,51.00,7.00,7.00,"7,655.00",4.00,19.00,90%,"1,968.00"
25.13.009 - SUVINIL LATEX PVA MAX BRANCO GL,UNIDA,67.00,67.00,73.00,"7,622.00",80.00,19.00,80%,"5,209.00"
31.11.018 - METALATEX ELASTIC BASE XY,UNIDA,8.00,1.00,12.00,"7,613.00",40.00,19.00,80%,"3,876.00"
13.05.020 - CROMANIL FSC BRANCO GL,UNIDA,224.00,93.00,108.00,"7,598.00",72.00,19.00,70%,"3,780.00"
13.07.116 - KIT GL CIMENTO QUEIMADO GAROA,UNIDA,23.00,23.00,24.00,"7,572.00",72.00,19.00,70%,"6,712.00"
13.07.115 - KIT 1/4 CIMENTO QUEIMADO TRADICIONAL CLARO,UNIDA,64.00,64.00,68.00,"7,524.00",13.00,19.00,60%,"7,106.00"
31.23.018 - NOVA COR PISO CINZA LT,UNIDA,24.00,24.00,28.00,"7,466.00",54.00,19.00,40%,"5,517.00"
31.10.003 - METALATEX REQ BRANCO GL,UNIDA,49.00,49.00,55.00,"7,422.00",79.00,19.00,30%,"4,575.00"
25.24.001 - MULTISUPERFICIES BRANCO  GL,UNIDA,44.00,29.00,38.00,"7,397.00",53.00,19.00,20%,"4,710.00"
99.99.998 - KIT CIMENTO QUEIMADO GL NUVENS DE CHUVA,UNIDA,1.00,21.00,24.00,"7,191.00",10.00,18.00,70%,"6,622.00"
31.24.021 - SUMADUR KIT MUNSELL N 6,5,UNIDA,2.00,1.00,10.00,"7,144.00",80.00,18,0.60
ZZ.SW.000 - PALHA - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",22.00,29.00,"6,977.00",52.00,18.00,10%,"5,442.00"
