Produtos,Embal,Operacoeses_Comerciais,Itens_Vendidos,Quantidade,Valor,% Part.,Custo_Total,Lucrativo-%,Lucrativo-$
ZZ.SW.000 - ARGOS - XY - SHERWIN - M-LTX REQUINTE SUPER,LATA,"1,687.00",1.00,1.00,571.00,67.00,1.00,50%,396.00
ZZ.SW.000 - AREIA - XY - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",3.00,7.00,571.00,37.00,1.00,50%,353.00
ZZ.SV.000 - TRUFA DE CUPUACU - A2 - SELFCOLOR - TOQUE DE SEDA,16L,"1,574.00",1.00,1.00,570.00,60.00,1.00,50%,415.00
ZZ.SV.000 - CESTA DE VIME - A2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",2.00,4.00,570.00,50.00,1.00,50%,383.00
13.04.008 - CROMANIL REQ ANIL 3 GL,UNIDA,11.00,1.00,2.00,570.00,0.00,1.00,50%,116.00
ZZ.SW.000 - INTROSPECCAO - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",3.00,5.00,569.00,53.00,1.00,50%,332.00
25.02.001 - SUVINIL ACRILICO SEMI BRILHO BRANCO LT,UNIDA,1.00,1.00,1.00,569.00,0.00,1.00,50%,459.00
ZZ.SV.000 - MARES DO SUL - A2 - CORAL - TOQUE DE SEDA,16L,"1,574.00",1.00,1.00,568.00,78.00,1.00,50%,432.00
31.07.008 - FUNDO PREPARADOR DE PAREDE ECO 1/4,UNIDA,17.00,17.00,17.00,568.00,9.00,1.00,50%,277.00
ZZ.SW.000 - TRILHO DE TREM - XY - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,5.00,566.00,75.00,1.00,50%,320.00
ZZ.SV.000 - CHOCOLATE MEIO AMARGO - C2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",1.00,1.00,566.00,22.00,1.00,50%,430.00
13.05.004 - LATEX ACR FOSCO CROMANIL ANIL (2) 1/4,UNIDA,27.00,5.00,6.00,565.00,20.00,1.00,50%,122.00
ZZ.SW.000 - RIO DAS PEDRAS - Z - SHERWIN - M-LTX REQUINTE SUPER,LATA,"1,687.00",1.00,1.00,565.00,7.00,1.00,50%,193.00
31.04.028 - ESMALTE NOVA COR ACET GELO GL,UNIDA,6.00,6.00,6.00,565.00,5.00,1.00,50%,318.00
11.03.007 - SPRAY ALUMEN PRETO FOSCO,UNIDA,13.00,13.00,18.00,564.00,93.00,1.00,50%,340.00
12.01.001 - ESMALTE CORALIT ULTRA ACET BRANCO 1/4 SOLV,UNIDA,34.00,13.00,15.00,564.00,60.00,1.00,50%,293.00
ZZ.SV.000 - LUA CRESCENTE - A2 - SELFCOLOR - TOQUE DE SEDA,16L,"1,574.00",2.00,2.00,564.00,23.00,1.00,50%,526.00
15.06.001 - SILICONE TUBO BRANCO 280ML,UNIDA,18.00,18.00,24.00,562.00,87.00,1.00,50%,301.00
25.14.001 - SUVINIL ACRILICO SEMI BRILHO BRANCO GL,UNIDA,3.00,3.00,3.00,562.00,15.00,1.00,50%,342.00
ZZ.SW.000 - PLATIBANDA - W - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",2.00,3.00,560.00,25.00,1.00,50%,340.00
15.01.001 - ALCOOL 92,8,UNIDA,27.00,27.00,35.00,560.00,23.00,1,0.50
ZZ.SH.000 - EXPLOSAO DE ESTRELA* - LANGUAGE OF COLORS - - WANDEPOXY,2.56L,231.00,1.00,2.00,558.00,0.00,1.00,40%,335.00
ZZ.SW.000 - CANVAS TAN - XY - SHERWIN - M-LTX REQUINTE SUPER,GALAO,"1,687.00",3.00,4.00,557.00,50.00,1.00,40%,330.00
17.01.005 - PLASTICO BOLHA 25M,UNIDA,16.00,16.00,17.00,557.00,45.00,1.00,40%,336.00
35.01.002 - DACAR TINTA ACRILICA LATA,16L,10.00,2.00,3.00,557.00,43.00,1.00,40%,583.00
15.02.001 - ARALDITE  10 MIN 16GR,UNIDA,14.00,14.00,23.00,552.00,67.00,1.00,40%,275.00
ZZ.SW.000 - VERDES VALES - W - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",5.00,5.00,552.00,55.00,1.00,40%,330.00
31.24.002 - VERNIZ ACRILICO INCOLOR SW  GL,UNIDA,10.00,6.00,6.00,549.00,99.00,1.00,40%,317.00
31.23.019 - NOVA COR PISO CONCRETO 1/4,UNIDA,19.00,19.00,19.00,549.00,55.00,1.00,40%,278.00
ZZ.SV.000 - COLHER DE PAU - B2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",2.00,2.00,549.00,30.00,1.00,40%,400.00
31.17.001 - GESSO E DRYWALL NOVA COR GL,UNIDA,25.00,6.00,7.00,549.00,20.00,1.00,40%,322.00
20.04.001 - FUNDO BRANCO FOSCO UNIVERSAL LUKS ECO 1/4,UNIDA,16.00,16.00,16.00,548.00,24.00,1.00,40%,314.00
31.05.005 - ESMALTE METALATEX ECO BRILH BRANCO GL,UNIDA,4.00,4.00,5.00,547.00,73.00,1.00,40%,303.00
ZZ.SW.000 - CINZA INTELECTUAL - Z - SHERWIN - M-LTX REQUINTE SUPER,GALAO,"1,687.00",3.00,4.00,547.00,48.00,1.00,40%,333.00
ZZ.SV.000 - CRISTAL DE PIRITA - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",2.00,2.00,547.00,22.00,1.00,40%,411.00
17.02.003 - PAPEL KRAFT 90CM - 3KG,UNIDA,10.00,10.00,11.00,546.00,8.00,1.00,40%,200.00
31.10.020 - NOVA COR ACET BRANCO GL,UNIDA,5.00,5.00,6.00,545.00,21.00,1.00,40%,302.00
ZZ.SV.000 - ESPUMA GELADA - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",2.00,2.00,544.00,44.00,1.00,40%,411.00
07.06.002 - LUVA BORRACHA M,UNIDA,42.00,42.00,56.00,542.00,47.00,1.00,40%,312.00
ZZ.SV.000 - MONTE CLARO - A2 - CORAL - FOSCO COMPLETO,16L,"1,574.00",2.00,2.00,542.00,4.00,1.00,40%,389.00
ZZ.SV.000 - SUETER - B2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",2.00,2.00,541.00,3.00,1.00,40%,508.00
ZZ.SW.000 - CEREJA - W - SHERWIN - M-LTX ESM ECO ACET,GALAO,"1,687.00",2.00,3.00,540.00,87.00,1.00,40%,334.00
27.01.013 - SPRAY  COLORART BRANCO FOSCO,UNIDA,21.00,21.00,28.00,540.00,28.00,1.00,40%,238.00
13.05.022 - CROMANIL CHROMA KEY AZUL GL,UNIDA,2.00,1.00,2.00,540.00,0.00,1.00,40%,195.00
ZZ.SV.000 - AZUL-MARINHO - C2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",4.00,4.00,539.00,45.00,1.00,40%,312.00
ZZ.SV.000 - ESTRATOSFERA - A2 - CORAL - FOSCO COMPLETO,3.2L,"1,574.00",4.00,5.00,538.00,98.00,1.00,40%,375.00
13.04.005 - LATEX ACR ACET CROMANIL ANIL (2)  GL,UNIDA,9.00,2.00,2.00,538.00,65.00,1.00,40%,116.00
17.02.002 - PAPEL KRAFT 60CM - 2KG,UNIDA,17.00,13.00,13.00,538.00,53.00,1.00,40%,301.00
07.06.005 - LUVA BANHADA EM PU G ATLAS,UNIDA,45.00,45.00,51.00,537.00,67.00,1.00,40%,273.00
ZZ.SH.000 - CALOR DO NORDESTE - LANGUAGE OF COLORS - - DECORA MATTE FO,3.2L,231.00,1.00,2.00,537.00,20.00,1.00,40%,315.00
31.05.048 - ESMALTE NOVA COR BRILH VERDE FOLHA GL,UNIDA,4.00,4.00,6.00,537.00,5.00,1.00,40%,323.00
31.02.009 - CORANTE BISNAGA VERMELHO,UNIDA,68.00,68.00,93.00,536.00,89.00,1.00,40%,246.00
30.02.001 - EXTERMINADOR DE CUPIM  0,900 ML,UNIDA,15.00,15.00,17.00,536.00,62.00,1,0.40
99.99.998 - KIT 1/4 CIMENTO QUEIMADO TRADICIONAL CLARO,UNIDA,1.00,5.00,5.00,536.00,12.00,1.00,40%,398.00
13.02.003 - CROMANIL ESMALTE ACET ANIL (2)  1/4,UNIDA,4.00,4.00,5.00,535.00,90.00,1.00,40%,92.00
ZZ.SH.000 - CINZA GRANITO - LANGUAGE OF COLORS - - DECORA MATTE FO,16L,231.00,2.00,2.00,535.00,89.00,1.00,40%,364.00
ZZ.SH.000 - PENA PRATEADA - LANGUAGE OF COLORS - - DECORA SEDA AC,16L,231.00,1.00,1.00,535.00,60.00,1.00,40%,378.00
34.01.012 - VIABIT (NEUTROL) GL,UNIDA,7.00,5.00,6.00,535.00,47.00,1.00,40%,331.00
31.07.007 - FUNDO BRANCO FOSCO NOVA COR GL,UNIDA,6.00,5.00,5.00,533.00,70.00,1.00,40%,362.00
ZZ.SV.000 - PAPEL DE SEDA - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",1.00,1.00,533.00,63.00,1.00,40%,408.00
11.03.013 - SPRAY ARTE URBANA AMARELO SOL,UNIDA,17.00,17.00,24.00,533.00,61.00,1.00,40%,340.00
ZZ.SH.000 - PAISAGEM FRIA - LANGUAGE OF COLORS - - DECORA MATTE FO,16L,231.00,1.00,1.00,532.00,80.00,1.00,40%,352.00
06.03.001 - PILHA AA ENERGIZER MAX,UNIDA,30.00,27.00,41.00,532.00,18.00,1.00,40%,215.00
31.02.003 - CORANTE BISNAGA AZUL,UNIDA,66.00,66.00,92.00,531.00,92.00,1.00,40%,249.00
20.11.001 - ZARCAO LUKSCOLOR 1/16,UNIDA,36.00,36.00,37.00,530.00,54.00,1.00,40%,273.00
13.04.008 - CROMANIL REQ ANIL INTENSO 3 GL,UNIDA,11.00,2.00,2.00,530.00,27.00,1.00,40%,116.00
11.03.094 - SPRAY METALLIK OURO,UNIDA,12.00,12.00,18.00,530.00,4.00,1.00,40%,325.00
25.03.010 - CASCOREZ COLA BRANCA 1 KG,UNIDA,15.00,15.00,18.00,529.00,34.00,1.00,40%,283.00
ZZ.SV.000 - DOCE DE ABOBORA - C2 - CORAL - FOSCO COMPLETO,3.2L,"1,574.00",1.00,2.00,528.00,71.00,1.00,40%,390.00
31.05.040 - ESMALTE NOVA COR BRILH PRETO 1/4,UNIDA,18.00,18.00,19.00,528.00,48.00,1.00,40%,252.00
02.03.004 - ROLO ESPUMA COMPEL 15 CM PRETO,UNIDA,77.00,56.00,71.00,528.00,36.00,1.00,40%,183.00
07.01.028 - ESTILETE EMBORRACHADO ATLAS 3 LAMINAS,UNIDA,27.00,27.00,27.00,525.00,20.00,1.00,40%,285.00
31.24.010 - VERNIZ SW FILTRO SOLAR BRILHANTE 1/4,UNIDA,12.00,12.00,12.00,521.00,88.00,1.00,40%,297.00
ZZ.SV.000 - VALE VERDE - C2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",4.00,4.00,520.00,72.00,1.00,40%,359.00
25.17.001 - MASSA ACRILICA SUVINIL 1/4,UNIDA,26.00,26.00,26.00,519.00,73.00,1.00,40%,318.00
10.03.004 - ESMALTE PU PRETO CADILAC COM CATALIZADOR GL,UNIDA,1.00,1.00,4.00,519.00,60.00,1.00,40%,377.00
ZZ.SW.000 - VERMELHO ANTIGO - W - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",3.00,3.00,516.00,56.00,1.00,30%,333.00
12.02.003 - HAMMERITE BRANCO A/B GL,UNIDA,4.00,4.00,4.00,515.00,70.00,1.00,30%,314.00
16.03.004 - LIXA DïAGUA 150,UNIDA,33.00,25.00,229.00,513.00,81.00,1.00,30%,179.00
31.09.001 - RESINA ECO SW 1/4,UNIDA,14.00,14.00,15.00,513.00,54.00,1.00,30%,274.00
16.03.017 - LIXA DE FERRO 60,UNIDA,33.00,30.00,126.00,512.00,51.00,1.00,30%,199.00
13.07.120 - TEXTURA CROMANIL  BERINGELA 1/4,UNIDA,5.00,5.00,5.00,511.00,29.00,1.00,30%,35.00
31.02.008 - CORANTE BISNAGA VERDE,UNIDA,46.00,46.00,92.00,510.00,96.00,1.00,30%,608.00
25.07.017 - ESMALTE SUVINIL ACETINADO BRANCO 1/4,UNIDA,10.00,10.00,10.00,510.00,91.00,1.00,30%,213.00
ZZ.SW.000 - CANION DO ITAIMBEZINHO - Z - SHERWIN - NOVO M-LTX ACR FS,LATA,"1,687.00",1.00,1.00,510.00,86.00,1.00,30%,373.00
34.01.010 - VEDALAGE PLUS MANTA LIQUIDA BRANCA 12KG,UNIDA,2.00,2.00,2.00,510.00,85.00,1.00,30%,283.00
13.07.034 - TEXTURA CROMANIL  ENFERRUJADA 1/4,UNIDA,5.00,5.00,5.00,509.00,85.00,1.00,30%,313.00
15.03.015 - VASSOURA,UNIDA,34.00,28.00,35.00,509.00,55.00,1.00,30%,182.00
ZZ.SV.000 - PENA DE GANSO - A2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",4.00,4.00,508.00,13.00,1.00,30%,308.00
ZZ.SV.000 - AMARELO-OURO (PAD. EBA) - C2 - READY MIX - ESMALTE SECA RAPIDO,3.2L,"1,574.00",2.00,3.00,507.00,50.00,1.00,30%,287.00
ZZ.SH.000 - AREIA - RM - READY MIX - RENDE MUITO,16L,231.00,1.00,2.00,507.00,31.00,1.00,30%,385.00
ZZ.SW.000 - FIBRA DE BAMBU - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",4.00,4.00,506.00,37.00,1.00,30%,404.00
ZZ.SW.000 - ABELHA-RAINHA - VY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",3.00,3.00,506.00,1.00,1.00,30%,338.00
ZZ.SW.000 - VERDE CAQUI - XY - SHERWIN - NOVO M-LTX ACR FS,LATA,"1,687.00",1.00,1.00,506.00,0.00,1.00,30%,354.00
ZZ.SV.000 - MAGENTA - C2 - SELFCOLOR - TOQUE DE SEDA,3.2L,"1,574.00",2.00,2.00,505.00,61.00,1.00,30%,294.00
ZZ.SH.000 - CHAPEU DE PALHA - SUV - OUTRAS COLECOES - DECORA MATTE FO,3.2L,231.00,3.00,5.00,505.00,40.00,1.00,30%,272.00
11.03.001 - SPRAY ALTA TEMP ALUMINIO,UNIDA,10.00,10.00,16.00,504.00,30.00,1.00,30%,292.00
ZZ.SW.000 - CANARINHO - W - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",4.00,5.00,504.00,27.00,1.00,30%,305.00
20.08.007 - SOLVENTE 8137 GL,UNIDA,35.00,1.00,6.00,504.00,0.00,1.00,30%,270.00
23.01.006 - BENJAMIN 3 SAIDAS COLORIDO,UNIDA,39.00,39.00,52.00,501.00,79.00,1.00,30%,114.00
ZZ.SV.000 - MIOSOTIS - A2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",4.00,5.00,501.00,58.00,1.00,30%,292.00
ZZ.SV.000 - BABUSHKA - B2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",3.00,4.00,500.00,23.00,1.00,30%,387.00
31.07.001 - FUNDO ANTIFERRUGEM NOVA COR 1/4,UNIDA,10.00,10.00,12.00,500.00,3.00,1.00,30%,239.00
31.05.047 - ESMALTE NOVA COR BRILH VERDE FOLHA 1/4,UNIDA,15.00,15.00,17.00,499.00,42.00,1.00,30%,275.00
ZZ.SW.000 - VINHO QUENTE - W - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",3.00,6.00,499.00,41.00,1.00,30%,303.00
07.01.047 - BORRIFADOR 60ML,UNIDA,43.00,43.00,59.00,498.00,81.00,1.00,30%,182.00
ZZ.SV.000 - MARSHMALLOW - A2 - SELFCOLOR - TOQUE DE SEDA,16L,"1,574.00",1.00,1.00,498.00,75.00,1.00,30%,381.00
25.10.002 - SUVINIL FAMILIA PROTEGIDA ANTI BACTERIA ACETINADO LT,UNIDA,1.00,1.00,1.00,498.00,0.00,1.00,30%,352.00
13.07.099 - LUMINUZ ROSA 1/4,UNIDA,6.00,6.00,7.00,496.00,90.00,1.00,30%,489.00
ZZ.SV.000 - BAILE DE MASCARAS - C2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",3.00,3.00,496.00,74.00,1.00,30%,289.00
ZZ.SW.091 - CLR NOV ACR - FOSCO - E,3.2L,1.00,2.00,4.00,495.00,90.00,1.00,30%,176.00
ZZ.SV.000 - CRISTAL PURO - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",2.00,2.00,495.00,86.00,1.00,30%,351.00
11.03.024 - SPRAY ARTE URBANA AZUL NETUNO,UNIDA,17.00,18.00,23.00,493.00,68.00,1.00,30%,328.00
ZZ.SW.000 - CINZA FOSSIL - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",2.00,2.00,493.00,19.00,1.00,30%,348.00
ZZ.SW.000 - MARROM CORTES - W - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,3.00,493.00,14.00,1.00,30%,292.00
ZZ.SV.000 - PAPEL DE PRESENTE - A2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",7.00,7.00,491.00,55.00,1.00,30%,340.00
07.01.025 - ESPATULA  ATLAS  6255 ACO POLIDO PRETA 7,5 CM,UNIDA,50.00,26.00,26.00,490.00,75.00,1,0.30
ZZ.SW.000 - AZUL DEL REI - W - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",2.00,3.00,490.00,29.00,1.00,30%,359.00
ZZ.SV.000 - RENDADO - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",1.00,1.00,490.00,17.00,1.00,30%,361.00
16.03.025 - LIXA MASSA  60,UNIDA,76.00,66.00,302.00,489.00,80.00,1.00,30%,152.00
ZZ.SV.000 - BISCOITO DE MANTECAL - A2 - SELFCOLOR - TOQUE DE SEDA,16L,"1,574.00",1.00,1.00,488.00,61.00,1.00,30%,372.00
16.03.021 - LIXA DE FERRO 150,UNIDA,57.00,52.00,165.00,488.00,11.00,1.00,30%,254.00
ZZ.SH.000 - INFINITO - LANGUAGE OF COLORS - - DECORA MATTE FO,3.2L,231.00,1.00,3.00,487.00,50.00,1.00,30%,290.00
ZZ.SW.000 - UVA-PASSA BRANCA SW 7685 MET ACR FOSCO - METALATEX ACRILICO,3.2L,"1,687.00",3.00,5.00,487.00,29.00,1.00,30%,392.00
07.09.011 - PINCEL AT951 ATLAS 16,UNIDA,29.00,29.00,33.00,487.00,11.00,1.00,30%,92.00
ZZ.SW.000 - CORUJA NOTURNA - Z - SHERWIN - M-LTX ACR FS,GALAO,"1,687.00",2.00,3.00,483.00,51.00,1.00,30%,263.00
ZZ.SW.000 - MARROM MARROQUINO - Z - SHERWIN - NOVO M-LTX ACR FS,LATA,"1,687.00",1.00,1.00,483.00,27.00,1.00,30%,406.00
13.07.089 - LUMINUZ AZUL 1/4,UNIDA,6.00,6.00,6.00,482.00,81.00,1.00,30%,419.00
21.06.001 - MASSA F12 BRANCA 1/16,UNIDA,33.00,33.00,37.00,482.00,32.00,1.00,30%,201.00
07.01.019 - ESPATULA  ATLAS  6155  ACO INOX 7,6CM,UNIDA,16.00,16.00,17.00,480.00,94.00,1,0.20
ZZ.SW.000 - AESTHETIC WHITE SW 7035 CLR NOV ACR FOSCO - COLOR NOVACOR ACRILI,16L,"1,687.00",1.00,2.00,479.00,88.00,1.00,20%,105.00
ZZ.SW.000 - VESTIDO PURPURA - W - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,3.00,479.00,42.00,1.00,20%,299.00
31.11.027 - NOVA COR ACRILICO FOSCO BRANCO GL 76Mý,UNIDA,80.00,4.00,6.00,479.00,40.00,1.00,20%,251.00
31.05.016 - ESMALTE NOVA COR BRILH AMARELO GL,UNIDA,5.00,5.00,5.00,479.00,0.00,1.00,20%,277.00
02.01.018 - CACAMBA COMPEL 11LTS,UNIDA,123.00,18.00,21.00,478.00,50.00,1.00,20%,222.00
27.01.024 - SPRAY  COLORART VERNIZ FOSCO,UNIDA,19.00,19.00,22.00,478.00,22.00,1.00,20%,191.00
31.04.031 - ESMALTE NOVA COR ACET VERDE COLONIAL 1/4,UNIDA,13.00,13.00,15.00,477.00,89.00,1.00,20%,234.00
07.06.004 - LUVA BANHADA EM PU M ATLAS,UNIDA,43.00,43.00,46.00,477.00,13.00,1.00,20%,242.00
ZZ.SW.000 - C-70YR 19/557 - W - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",2.00,3.00,476.00,76.00,1.00,20%,284.00
16.03.016 - LIXA DE FERRO 50,UNIDA,29.00,28.00,128.00,475.00,31.00,1.00,20%,189.00
ZZ.SH.000 - BRANCO GATINHO - LANGUAGE OF COLORS - - DECORA SEDA AC,16L,231.00,1.00,1.00,474.00,60.00,1.00,20%,338.00
ZZ.SW.000 - CHA DE PESSEGO - E - SHERWIN - NOVACOR ACR FS,LATA,"1,687.00",2.00,2.00,474.00,28.00,1.00,20%,336.00
07.03.001 - ESPATULA  ATLAS  6255 ACO POLIDO PRETA 12,7 CM,UNIDA,34.00,20.00,21.00,473.00,56.00,1,0.20
26.03.005 - AGUA RAZ NATRIELLI 5L,UNIDA,6.00,6.00,6.00,473.00,7.00,1.00,20%,251.00
ZZ.SW.000 - CINZA-SEDA - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",5.00,6.00,473.00,3.00,1.00,20%,273.00
11.03.039 - SPRAY ARTE URBANA FRAMBOESA,UNIDA,17.00,17.00,21.00,470.00,16.00,1.00,20%,303.00
ZZ.SW.000 - PURO MARFIM - XY - SHERWIN - NOVO M-LTX ACR FS,LATA,"1,687.00",3.00,3.00,470.00,9.00,1.00,20%,330.00
07.01.001 - BLOCO DE ESPUMA  CROMANIL,UNIDA,50.00,50.00,68.00,469.00,17.00,1.00,20%,77.00
ZZ.SW.000 - ORIGAMI WHITE - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",2.00,2.00,467.00,61.00,1.00,20%,379.00
ZZ.SV.000 - SAARA - A2 - READY MIX - FOSCO COMPLETO,16L,"1,574.00",1.00,1.00,467.00,7.00,1.00,20%,374.00
ZZ.SW.000 - CINZA AGRADAVEL - XY - SHERWIN - NOVO M-LTX ACR FS,LATA,"1,687.00",3.00,3.00,466.00,81.00,1.00,20%,331.00
ZZ.SH.000 - CERAMICA MINEIRA - LANGUAGE OF COLORS - - DECORA MATTE FO,3.2L,231.00,2.00,2.00,466.00,0.00,1.00,20%,280.00
ZZ.SV.000 - GRANITO - B2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",2.00,3.00,465.00,84.00,1.00,20%,279.00
02.01.027 - PROTETOR FACIAL PRETO,UNIDA,24.00,24.00,38.00,465.00,63.00,1.00,20%,258.00
31.18.001 - SELADORA METALATEX 1/4,UNIDA,11.00,11.00,11.00,465.00,30.00,1.00,20%,277.00
02.01.009 - KIT COMPEL LA N§ 15,UNIDA,11.00,6.00,13.00,464.00,10.00,1.00,20%,121.00
ZZ.SH.000 - CINZA MISTERIOSO - LANGUAGE OF COLORS - - DECORA MATTE FO,16L,231.00,1.00,1.00,463.00,50.00,1.00,20%,317.00
ZZ.SV.000 - H104 - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",1.00,1.00,462.00,80.00,1.00,20%,372.00
ZZ.SV.000 - MAR NOTURNO - C2 - SELFCOLOR - FOSCO COMPLETO,3.2L,"1,574.00",3.00,3.00,462.00,31.00,1.00,20%,273.00
ZZ.SW.000 - RABANETE - W - SHERWIN - M-LTX ESM ECO ACET,GALAO,"1,687.00",3.00,3.00,461.00,88.00,1.00,20%,263.00
ZZ.SH.000 - LUA DE AGOSTO - LANGUAGE OF COLORS - - DECORA MATTE FO,16L,231.00,1.00,1.00,461.00,87.00,1.00,20%,335.00
02.04.001 - ROLO EPOXI COMPEL 23 CM,UNIDA,16.00,16.00,23.00,460.00,89.00,1.00,20%,120.00
30.05.009 - VERNIZ AQUARIS ACETINADO 1/4,UNIDA,19.00,13.00,13.00,459.00,40.00,1.00,20%,266.00
ZZ.SV.000 - SW 6468 - C2 - SHERWIN WILLIAMS - FOSCO COMPLETO,3.2L,"1,574.00",2.00,3.00,458.00,55.00,1.00,20%,312.00
ZZ.SH.000 - FRAGRANCIA NATURAL - LANGUAGE OF COLORS - - DECORA MATTE FO,16L,231.00,1.00,1.00,457.00,50.00,1.00,20%,319.00
ZZ.SV.000 - ACUCAR CRISTAL - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",1.00,1.00,457.00,46.00,1.00,20%,331.00
25.03.003 - CASCOLA 400 GR,UNIDA,16.00,16.00,17.00,456.00,95.00,1.00,20%,247.00
25.09.008 - FITA SILVER TAPE PRATA 48X10M,UNIDA,21.00,21.00,27.00,456.00,0.00,1.00,20%,198.00
ZZ.SH.000 - TERRA PROMETIDA - LANGUAGE OF COLORS - - DECORA MATTE FO,16L,231.00,1.00,1.00,452.00,89.00,1.00,20%,323.00
ZZ.SW.000 - AGATA CINZA - XY - SHERWIN - NOVO M-LTX ACR FS,LATA,"1,687.00",2.00,3.00,452.00,52.00,1.00,20%,321.00
ZZ.SH.000 - SELVAGEM - LANGUAGE OF COLORS - - CORALIT SECAGEM RAPI,3.2L,231.00,2.00,3.00,451.00,50.00,1.00,20%,264.00
07.01.023 - ESPATULA  ATLAS  6255 ACO POLIDO PRETA 10 CM,UNIDA,30.00,17.00,21.00,451.00,13.00,1.00,20%,215.00
11.03.123 - SPRAY METALLIK ROSE GOLD,UNIDA,14.00,14.00,15.00,450.00,71.00,1.00,20%,265.00
13.07.001 - KIT 1/4 CIMENTO QUEIMADO CORES CLARAS,UNIDA,84.00,4.00,4.00,450.00,56.00,1.00,20%,418.00
ZZ.SW.000 - VERMELHO-TERROSO SW 0008 MET ACR FOSCO - METALATEX ACRILICO,16L,"1,687.00",1.00,1.00,449.00,96.00,1.00,20%,150.00
25.11.025 - SUVINIL SELADOR ACRILICO LT,UNIDA,1.00,1.00,3.00,449.00,70.00,1.00,20%,339.00
31.11.015 - METALATEX FSC W LATA 16LT,UNIDA,1.00,1.00,1.00,449.00,20.00,1.00,20%,134.00
ZZ.SV.000 - PRETO ABSOLUTO - C2 - SELFCOLOR - LOUSA E COR,3.2L,"1,574.00",6.00,6.00,448.00,34.00,1.00,20%,280.00
12.03.013 - CORAL DECORA LT,UNIDA,5.00,1.00,1.00,447.00,70.00,1.00,20%,319.00
02.03.006 - ROLO LA COMPEL PREMIUM 23 CM,UNIDA,10.00,10.00,11.00,446.00,90.00,1.00,20%,171.00
ZZ.SW.000 - VERMELHO PULSANTE - W - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",3.00,5.00,445.00,67.00,1.00,20%,266.00
ZZ.SH.000 - COSTA PRATEADA - LANGUAGE OF COLORS - - DECORA MATTE FO,16L,231.00,1.00,1.00,445.00,50.00,1.00,20%,313.00
ZZ.SW.073 - CLR MET ES E - ACETINADO - XY,3.2L,2.00,2.00,4.00,443.00,11.00,1.00,20%,393.00
ZZ.SV.000 - PALHA - A2 - READY MIX - ESMALTE SECA RAPIDO,3.2L,"1,574.00",5.00,5.00,443.00,9.00,1.00,20%,251.00
18.01.004 - RESINA HYDRONORTHY BRILHANTE 1/4,UNIDA,9.00,9.00,10.00,442.00,85.00,1.00,20%,199.00
ZZ.SW.000 - DELIRIO VERMELHO - W - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",4.00,5.00,442.00,6.00,1.00,10%,262.00
ZZ.SW.000 - DELICIA DE ABACAXI - E - SHERWIN - NOVACOR ACR FS,LATA,"1,687.00",2.00,2.00,441.00,90.00,1.00,10%,315.00
