Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.
07.06.008 - LONA TRAMADA 5X6 ATLAS;UNIDA;2;2;2;R$ 274;0;0;70%;R$ 166
02.01.013 - DESEMPENADEIRA ACO DENTADA ABERTA COMPEL;UNIDA;7;7;8;R$ 273;35;0;70%;R$ 204
ZZ.SH.000 - PELICANO - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;2;R$ 273;0;0;70%;R$ 148
ZZ.SV.000 - MOUSSE DE GOIABA - B2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;5;6;R$ 272;90;0;70%;R$ 161
31.15.004 - MASSA NIVELADORA ECO 1/4;UNIDA;6;6;9;R$ 272;50;0;70%;R$ 133
ZZ.SV.000 - HORIZONTE AZUL - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;3;R$ 272;17;0;70%;R$ 194
ZZ.SV.000 - QUERO-QUERO - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;2;R$ 271;72;0;70%;R$ 177
38.01.003 - LIMPA PEDRAS SANOL PRO 1LT;UNIDA;9;9;11;R$ 271;70;0;70%;R$ 108
30.05.012 - REMOVEDOR SUPER SAYERLACK;UNIDA;5;5;6;R$ 271;25;0;70%;R$ 115
ZZ.SW.000 - AREIAS DO TEMPO - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;2;R$ 270;69;0;70%;R$ 169
ZZ.SW.000 - GLAMUROSA - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 270;65;0;70%;R$ 164
30.05.013 - VERNIZ POLIULACK ACETINADO 1/4;UNIDA;8;8;8;R$ 270;55;0;70%;R$ 141
31.05.001 - ESMALTE METALATEX BRILH BRANCO 1/4;UNIDA;6;6;8;R$ 270;39;0;70%;R$ 145
ZZ.SV.000 - PRETO ABSOLUTO - C2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;2;2;R$ 270;23;0;70%;R$ 154
ZZ.SW.000 - DIA DE SOL - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 270;16;0;70%;R$ 154
33.04.015 - ESPATULA 2153 5 ACO INOX TIGRE;UNIDA;10;10;10;R$ 270;3;0;70%;R$ 162
13.05.017 - CROMANIL VERDE CHROMA KEY GL;UNIDA;8;1;1;R$ 270;0;0;70%;R$ 97
13.05.022 - CROMANIL AZUL CHROMA KEY GL;UNIDA;2;1;1;R$ 270;0;0;70%;R$ 97
ZZ.SV.042 - ESMALTE COR & PROTEC C2 3.20;3.2L;6;1;3;R$ 270;0;0;70%;R$ 270
31.05.049 - ESMALTE NOVA COR BRILH VERMELHO  CHASSI GL;UNIDA;3;3;3;R$ 269;50;0;70%;R$ 131
30.05.010 - VERNIZ ECO ACETINADO GL;UNIDA;9;2;2;R$ 268;67;0;70%;R$ 162
33.04.007 - ROLO LA TIGRE 23CM   1324;UNIDA;8;6;9;R$ 268;20;0;70%;R$ 126
ZZ.SW.000 - COMANDANTE - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;3;R$ 267;83;0;70%;R$ 164
ZZ.SV.000 - ROSA-VERMELHA - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 267;57;0;70%;R$ 181
25.09.004 - FITA DUPLA FACE FIXA FORTE 3 M - 19 X 2;UNIDA;55;11;12;R$ 267;50;0;70%;R$ 129
ZZ.SV.000 - PAPEL-COUCHE - A2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;2;R$ 267;50;0;70%;R$ 188
ZZ.SH.000 - NASCER DO ORIENTE* - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 266;60;0;70%;R$ 157
ZZ.SV.000 - DESEJO - C2 - SELFCOLOR - ESMALTE MULTISUPERFI;3.2L;1574;1;1;R$ 266;49;0;70%;R$ 166
ZZ.SW.000 - BUFF - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;2;R$ 266;44;0;70%;R$ 149
31.24.001 - VERNIZ ACRILICO INCOLOR SW  1 LITRO;UNIDA;9;7;9;R$ 266;30;0;70%;R$ 99
ZZ.SW.000 - REPOUSANTE - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;2;R$ 266;24;0;70%;R$ 164
ZZ.SH.000 - VERDE CAQUI - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;4;4;R$ 265;50;0;70%;R$ 144
ZZ.SV.000 - VITAMINA DE PAPAIA - B2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 264;96;0;70%;R$ 152
26.03.006 - SOLVENTE 8800 NATRIELLI 900ML;UNIDA;9;9;14;R$ 264;60;0;70%;R$ 127
31.05.032 - ESMALTE NOVA COR BRILH MARROM  GL;UNIDA;1;1;3;R$ 264;51;0;70%;R$ 157
11.03.074 - SPRAY ARTE URBANA VIOLETA;UNIDA;11;11;12;R$ 264;44;0;70%;R$ 173
ZZ.SH.000 - MINERAL VALIOSO - OUTRAS COLECOES - DECORA MATTE FO;3.2L;231;1;2;R$ 264;42;0;70%;R$ 159
11.03.057 - SPRAY ARTE URBANA VERDE BANDEIRA;UNIDA;12;12;12;R$ 264;40;0;70%;R$ 167
21.03.005 - CLORO LIQUIDO PURO 5 LT;UNIDA;5;5;6;R$ 263;80;0;70%;R$ 106
ZZ.SV.000 - ROSA-CHOQUE - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 263;58;0;70%;R$ 150
ZZ.SV.000 - AZUL-MAROLA - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;3;4;R$ 263;31;0;70%;R$ 213
31.23.003 - NOVA COR PISO AMARELO 1/4;UNIDA;9;9;9;R$ 262;84;0;70%;R$ 133
07.09.002 - PINCEL AT950 ATLAS 00;UNIDA;30;30;40;R$ 262;74;0;70%;R$ 82
ZZ.SV.000 - SUCO DE LIMAO - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;2;R$ 262;68;0;70%;R$ 163
ZZ.SW.000 - BEIJO MOLHADO - Z - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;4;5;R$ 262;61;0;70%;R$ 153
ZZ.SV.000 - BEGE AMULETO - A2 - CORAL - FOSCO COMPLETO;3.2L;1574;1;2;R$ 262;48;0;70%;R$ 187
ZZ.SV.000 - CERRADO - B2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;2;3;R$ 262;47;0;70%;R$ 160
ZZ.SV.000 - ORQUIDEA BRANCA - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;2;R$ 262;20;0;70%;R$ 187
ZZ.SV.000 - COBRE ALARANJADO* - C2 - CORAL - FOSCO COMPLETO;3.2L;1574;1;1;R$ 262;16;0;70%;R$ 187
ZZ.SW.000 - MINA DE CASCALHO - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;2;R$ 261;78;0;70%;R$ 156
ZZ.SV.000 - TERRA EXOTICA - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 261;44;0;70%;R$ 187
16.01.002 - LIXA MASSA  N| 180;UNIDA;330;39;262;R$ 261;38;0;70%;R$ 146
ZZ.SW.000 - BRANCO CERA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;2;R$ 260;76;0;70%;R$ 150
ZZ.SV.000 - MANJERICAO - C2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 260;57;0;70%;R$ 149
ZZ.SV.000 - COCADA - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;2;R$ 260;15;0;70%;R$ 243
ZZ.SW.000 - PANDA BRANCO - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;3;4;R$ 260;13;0;70%;R$ 163
25.20.001 - REMOVEDOR GEL STIPIIZI 4 KG;UNIDA;2;2;2;R$ 259;40;0;70%;R$ 157
27.01.018 - SPRAY  COLORART OURO;UNIDA;11;11;12;R$ 259;30;0;70%;R$ 136
ZZ.SV.000 - PO DE GRAFITE - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;2;R$ 259;20;0;70%;R$ 192
99.99.998 - TEXTURA CROMANIL  ANIL 2 GL;UNIDA;1;1;1;R$ 259;0;0;70%;R$ 44
ZZ.SW.000 - IGUANA - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 258;82;0;70%;R$ 152
ZZ.SV.000 - DESPERTAR - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;2;R$ 258;68;0;70%;R$ 186
31.15.005 - MASSA NIVELADORA ECO GL;UNIDA;3;3;3;R$ 258;29;0;70%;R$ 144
ZZ.SW.000 - ROTA DE FUGA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;2;R$ 258;2;0;70%;R$ 143
ZZ.SV.000 - SELVA VIBRANTE - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 257;64;0;70%;R$ 146
ZZ.SW.000 - BRANCO COLONIAL - XY - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;2;R$ 257;28;0;70%;R$ 151
ZZ.SW.000 - MICANGA LARANJA - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;3;4;R$ 257;14;0;70%;R$ 152
ZZ.SW.000 - BLUE BEYOND - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 257;0;0;70%;R$ 152
ZZ.SW.000 - CINZA TRANQUILO - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;2;R$ 256;70;0;70%;R$ 155
12.03.097 - RENOVA AZULEJO AC BRANCO 1/4;UNIDA;3;3;3;R$ 256;50;0;70%;R$ 138
15.01.002 - CADEADO PADO 20 MM;UNIDA;16;16;17;R$ 256;16;0;70%;R$ 131
ZZ.SW.000 - ENDRO - Z - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;2;R$ 255;88;0;70%;R$ 153
07.07.001 - MASCARA AZUL COM VALVULA;UNIDA;55;15;37;R$ 255;30;0;70%;R$ 75
ZZ.SV.000 - MEL - B2 - READY MIX - ESMALTE SECA RAPIDO;3.2L;1574;3;3;R$ 254;87;0;70%;R$ 235
23.01.009 - BENJAMIN T COLORIDO;UNIDA;22;22;26;R$ 254;69;0;70%;R$ 50
ZZ.SW.155 - WHITE;946ML;1;1;1;R$ 254;61;0;70%;R$ 159
ZZ.SV.000 - PAPEL PICADO - A2 - SELFCOLOR - ESMALTE MULTISUPERFI;3.2L;1574;1;1;R$ 254;27;0;70%;R$ 137
ZZ.SV.000 - COROA REAL - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 254;16;0;70%;R$ 145
ZZ.SW.000 - ESPECIARIAS - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;3;R$ 253;58;0;70%;R$ 156
11.03.022 - SPRAY ARTE URBANA AZUL MARINHO;UNIDA;10;10;12;R$ 252;63;0;70%;R$ 178
ZZ.SV.000 - VALE VERDE - C2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 252;51;0;70%;R$ 145
31.11.028 - NOVA COR ACRILICO FOSCO BRANCO LT 380Mý;UNIDA;63;1;1;R$ 252;11;0;70%;R$ 161
16.03.006 - LIXA DïAGUA 220;UNIDA;42;30;118;R$ 251;93;0;70%;R$ 103
ZZ.SW.000 - BRANCO PURO - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;2;2;R$ 251;87;0;70%;R$ 147
ZZ.SW.000 - VERDE MATINE - Z - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;2;R$ 251;60;0;70%;R$ 153
ZZ.SW.000 - NOVAMENTE CINZA - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;2;2;R$ 251;46;0;70%;R$ 132
ZZ.SV.000 - SINO DA IGREJA - B2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;2;2;R$ 251;38;0;70%;R$ 164
ZZ.SW.000 - CONFINS DO CEU - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;3;3;R$ 251;19;0;70%;R$ 147
13.07.069 - TEXTURA CROMANIL  ZINABRE 1/4;UNIDA;3;3;3;R$ 251;12;0;70%;R$ 21
ZZ.SV.000 - QUENTAO - C2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;4;5;R$ 250;83;0;70%;R$ 148
ZZ.SW.000 - AREIA FOFA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 250;70;0;70%;R$ 138
21.03.001 - BETUME 100 ML;UNIDA;21;21;21;R$ 250;2;0;60%;R$ 79
ZZ.SV.000 - PALHA - A - READY MIX - CLASSICA;16.2L;1574;1;1;R$ 250;0;0;60%;R$ 245
ZZ.SW.000 - TACA REAL - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;2;R$ 250;0;0;60%;R$ 179
ZZ.SV.000 - MARINHEIRO - C2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 249;92;0;60%;R$ 176
ZZ.SV.000 - JARDIM DE INFANCIA - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;3;R$ 249;76;0;60%;R$ 164
ZZ.SW.000 - FIO DE LA - E - SHERWIN - NOVACOR ACR FS;LATA;1687;1;1;R$ 249;69;0;60%;R$ 188
34.01.006 - VIAPOL SELA JUNTA BRANCO 400 GR;UNIDA;15;7;8;R$ 249;47;0;60%;R$ 132
ZZ.SW.000 - AMARELINHA DIVERTIDA - E - SHERWIN - NOVACOR ACR FS;LATA;1687;1;1;R$ 249;5;0;60%;R$ 188
32.01.017 - FELTRO SINTETICO CIRCULAR PRETO 4330;UNIDA;14;14;20;R$ 248;3;0;60%;R$ 125
ZZ.SV.000 - MEIA-NOITE - C2 - SELFCOLOR - ESMALTE COR & PROTEC;3.2L;1574;1;1;R$ 247;35;0;60%;R$ 181
31.03.006 - GRAFITE ESCURO SW 1/4;UNIDA;5;5;6;R$ 246;30;0;60%;R$ 134
ZZ.SV.000 - FREVO - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 246;25;0;60%;R$ 168
ZZ.SV.000 - RIO DANUBIO - A2 - SELFCOLOR - ESMALTE COR & PROTEC;3.2L;1574;3;3;R$ 246;5;0;60%;R$ 163
02.01.020 - ESPONJA ABRASIVA MEDIA;UNIDA;30;30;39;R$ 245;73;0;60%;R$ 104
21.08.007 - VELADURA IMBUIA;UNIDA;16;16;18;R$ 245;40;0;60%;R$ 159
ZZ.SV.000 - JARDINEIRA - B2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 244;95;0;60%;R$ 140
25.03.001 - CASCOLA  BISNAGA;UNIDA;18;18;19;R$ 244;37;0;60%;R$ 101
ZZ.SV.000 - R077 - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 244;22;0;60%;R$ 163
11.03.077 - SPRAY EPOXI BRANCO;UNIDA;8;8;8;R$ 244;5;0;60%;R$ 150
11.03.023 - SPRAY ARTE URBANA AZUL MIRO;UNIDA;11;11;11;R$ 243;90;0;60%;R$ 146
ZZ.SW.000 - NOITE ILUSTRADA - W - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 243;65;0;60%;R$ 145
15.03.016 - VASSOURA NYLON;UNIDA;17;15;17;R$ 243;42;0;60%;R$ 127
12.03.010 - MASSA CORRIDA PVA CORAL;UNIDA;25;1;3;R$ 243;40;0;60%;R$ 150
ZZ.SW.000 - BRANCO GELO - XY - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;5;5;R$ 243;2;0;60%;R$ 181
25.03.021 - FITA DUPLA FACE FIXA PRO ADELBRAS BRANCA 19X2;UNIDA;23;20;21;R$ 242;48;0;60%;R$ 150
11.03.070 - SPRAY ARTE URBANA VERMELHO CEREJA;UNIDA;10;10;11;R$ 242;27;0;60%;R$ 158
ZZ.SV.000 - MOUSSE DE CACAU - C2 - CORAL - ESMALTE COR & PROTEC;3.2L;1574;1;1;R$ 242;0;0;60%;R$ 171
ZZ.SV.000 - SELVA VIBRANTE - C2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 241;91;0;60%;R$ 165
16.02.001 - FITA CREPE AZUL 18 X 50;UNIDA;14;14;19;R$ 241;66;0;60%;R$ 194
ZZ.SH.000 - AMOR - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 241;60;0;60%;R$ 145
ZZ.SH.000 - CREME BOSTON - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;2;R$ 241;60;0;60%;R$ 138
02.02.012 - PINCEL AMARELO 24;UNIDA;12;12;23;R$ 240;70;0;60%;R$ 56
12.03.094 - MASSA ACRILICA CORAL 1/4;UNIDA;12;12;12;R$ 240;52;0;60%;R$ 110
ZZ.SW.000 - CINZA URBANO - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;3;4;R$ 240;32;0;60%;R$ 143
02.07.007 - CABO EXTENSOR 5M COMPEL;UNIDA;2;2;2;R$ 239;90;0;60%;R$ 113
ZZ.SV.000 - TEIA DE ARANHA - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;2;R$ 239;88;0;60%;R$ 189
ZZ.SW.000 - COSTA AMALFITANA - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;3;4;R$ 239;75;0;60%;R$ 188
ZZ.SW.000 - AZUL PORTO SEGURO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;3;3;R$ 239;66;0;60%;R$ 140
ZZ.SW.031 - CLR MET REQ - SUPERLAVAVEL ACETINADO - XY;800ML;5;5;7;R$ 239;33;0;60%;R$ 161
11.03.090 - SPRAY LUMINOSA VIOLETA;UNIDA;6;6;8;R$ 239;29;0;60%;R$ 168
ZZ.SV.000 - AZUL ECHARPE - A2 - CORAL - FOSCO COMPLETO;3.2L;1574;3;3;R$ 239;7;0;60%;R$ 157
ZZ.SW.000 - CHEIO DE ALEGRIA - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;3;3;R$ 238;86;0;60%;R$ 139
ZZ.SW.000 - SWEEPING BLUE - XY - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;2;R$ 238;54;0;60%;R$ 229
ZZ.SV.000 - OREGANO - C2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 238;52;0;60%;R$ 137
ZZ.SV.000 - VERDE-PASTEL - A2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 238;48;0;60%;R$ 139
16.03.002 - LIXA DïAGUA 100;UNIDA;19;14;110;R$ 238;14;0;60%;R$ 98
ZZ.SH.000 - COLHEITA DO TRIGO - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;2;R$ 237;80;0;60%;R$ 137
21.06.008 - MASSA F12 IMBUIA 1/16;UNIDA;14;14;19;R$ 237;74;0;60%;R$ 95
ZZ.SW.000 - RABANETE - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 237;61;0;60%;R$ 134
25.12.003 - LAMPADA LED BULBO BR 11W 6500K;UNIDA;7;7;11;R$ 237;60;0;60%;R$ 115
25.12.001 - LAMPADA LED BULBO BR 9W 6500K;UNIDA;11;11;15;R$ 237;49;0;60%;R$ 97
ZZ.SW.000 - MARROM ARGILA - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;2;2;R$ 237;26;0;60%;R$ 140
34.01.016 - VIAFLEX FITA SLEEVE 10CM X 10M;UNIDA;6;6;6;R$ 237;3;0;60%;R$ 115
ZZ.SV.000 - TERRA FORTE - C2 - CORAL - FOSCO COMPLETO;3.2L;1574;1;1;R$ 237;3;0;60%;R$ 169
15.04.002 - VEDACALHA 280GR TEKBOND;UNIDA;8;8;12;R$ 237;1;0;60%;R$ 118
ZZ.SW.000 - MAE D AGUA - Z - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;3;5;R$ 236;80;0;60%;R$ 131
ZZ.SV.000 - MAPA-MUNDI - C2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 236;76;0;60%;R$ 164
ZZ.SV.000 - CENTEIO - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;2;R$ 236;33;0;60%;R$ 136
ZZ.SW.000 - GRISALHO - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;2;R$ 236;19;0;60%;R$ 127
34.01.006 - MONOPOL CONSTRUCAO BRANCO 400 GR;UNIDA;15;8;9;R$ 236;15;0;60%;R$ 158
31.11.032 - NOVA COR FSC E LATA;UNIDA;1;1;1;R$ 235;0;0;60%;R$ 121
ZZ.SH.000 - CANTO DA TOSCANA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;3;3;R$ 234;90;0;60%;R$ 130
33.04.018 - ROLO RESIFACIL TIGRE 23 CM;UNIDA;9;9;12;R$ 234;62;0;60%;R$ 81
ZZ.SW.000 - VERDE BOTANICO - E - SHERWIN - NOVACOR ACR FS;GALAO;1687;2;3;R$ 234;48;0;60%;R$ 141
ZZ.SW.000 - VERMELHO DISTINTIVO - W - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 234;29;0;60%;R$ 140
ZZ.SV.000 - N8 - A2 - MUNSELL - FOSCO COMPLETO;3.2L;1574;2;2;R$ 234;24;0;60%;R$ 162
ZZ.SH.000 - NEVOA ROXA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 234;0;0;60%;R$ 136
02.02.005 - PINCEL AMARELO 10;UNIDA;31;31;38;R$ 233;85;0;60%;R$ 36
11.03.017 - SPRAY ARTE URBANA AZUL CELESTE;UNIDA;8;8;11;R$ 233;69;0;60%;R$ 148
ZZ.SV.000 - CROMIO - A2 - SELFCOLOR - ESMALTE COR & PROTEC;3.2L;1574;2;2;R$ 233;67;0;60%;R$ 161
ZZ.SV.000 - GUACAMOLE - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 233;59;0;60%;R$ 166
ZZ.SV.000 - PENA DE GANSO - A2 - SELFCOLOR - ESMALTE MULTISUPERFI;3.2L;1574;1;1;R$ 233;51;0;60%;R$ 137
25.03.023 - IMPERMEABILIZANTE PARA TECIDO;UNIDA;5;5;5;R$ 233;44;0;60%;R$ 124
ZZ.SW.000 - DEIXA ROLAR - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 233;29;0;60%;R$ 151
07.05.002 - FIBRA ABRASIVA BAIXA;UNIDA;17;17;25;R$ 233;27;0;60%;R$ 69
ZZ.SV.000 - AZUL-PRECIOSO - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 232;85;0;60%;R$ 165
21.07.001 - LIMPA PEDRA  LT;UNIDA;11;11;13;R$ 232;70;0;60%;R$ 78
11.03.076 - SPRAY ARTE URBANA VIOLETA COSMOS;UNIDA;9;9;10;R$ 232;60;0;60%;R$ 148
ZZ.SV.000 - INCENSO DE SANDALO - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;2;R$ 232;44;0;60%;R$ 186
ZZ.SW.000 - BICO-DE-PAPAGAIO - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;2;2;R$ 232;18;0;60%;R$ 143
25.07.010 - ESMALTE SUVINIL AC SEC RAP BASE A GL;UNIDA;1;1;2;R$ 231;80;0;60%;R$ 122
ZZ.SV.000 - JARDIM NOTURNO - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;2;R$ 231;59;0;60%;R$ 150
33.04.013 - ROLO ANTI GOTAS ECONOMICO TIGRE 9CM 1377;UNIDA;14;14;18;R$ 231;4;0;60%;R$ 73
ZZ.SW.000 - SIBERIAN IRIS - XY - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;2;R$ 230;32;0;60%;R$ 117
ZZ.SH.000 - LARANJA CHINATOWN * - LANGUAGE OF COLORS - - CORALIT SECAGEM RAPI;3.2L;231;1;1;R$ 230;30;0;60%;R$ 138
ZZ.SV.000 - TICO-TICO - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;2;2;R$ 230;28;0;60%;R$ 158
31.20.001 - TEXTURA ACRILICA METALATEX  GL;UNIDA;5;5;5;R$ 230;26;0;60%;R$ 129
07.05.003 - FIBRA ABRASIVA MEDIA;UNIDA;17;17;25;R$ 230;20;0;60%;R$ 93
11.02.001 - COLORGIN METALLIK COBRE 1/32;UNIDA;3;3;10;R$ 230;0;0;60%;R$ 121
ZZ.SW.000 - BRANCO PAPIRO - E - SHERWIN - NOVACOR ACR FS;LATA;1687;1;1;R$ 229;47;0;60%;R$ 162
ZZ.SH.000 - VERDE CLASSICO* - LANGUAGE OF COLORS - - CORALIT ULTRA RESIST;3.2L;231;2;2;R$ 229;40;0;60%;R$ 136
ZZ.SW.000 - AZUL INDIGO - Z - SHERWIN - M-LTX ACR SB;GALAO;1687;1;1;R$ 229;15;0;60%;R$ 137
ZZ.SW.000 - GELO - E - SHERWIN - NOVACOR ACR FS;LATA;1687;1;1;R$ 228;82;0;60%;R$ 162
11.03.056 - SPRAY ARTE URBANA TANGERINA;UNIDA;8;8;11;R$ 228;47;0;60%;R$ 155
ZZ.SW.000 - BOBO DE CAMARAO - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;4;4;R$ 228;11;0;60%;R$ 129
ZZ.SV.000 - ANOITECER - B2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 228;7;0;60%;R$ 156
ZZ.SW.000 - NEVOA PRATA - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;2;R$ 227;83;0;60%;R$ 143
16.03.009 - LIXA DïAGUA 320;UNIDA;39;35;115;R$ 227;82;0;60%;R$ 82
07.09.001 - PINCEL AT950 ATLAS 0;UNIDA;26;26;35;R$ 227;58;0;60%;R$ 81
ZZ.SH.000 - GRANDES SERTOES - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 227;30;0;60%;R$ 132
16.01.001 - LIXA MASSA  N| 120;UNIDA;276;27;228;R$ 227;16;0;60%;R$ 153
ZZ.SV.000 - BOLO DE CENOURA - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 226;44;0;60%;R$ 130
ZZ.SW.000 - LOUCA PORTUGUESA - Z - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;3;4;R$ 226;38;0;60%;R$ 131
ZZ.SV.000 - SW 6635 - C2 - SHERWIN WILLIAMS - ESMALTE SECA RAPIDO;3.2L;1574;3;3;R$ 226;21;0;60%;R$ 125
ZZ.SV.000 - CASSINO - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 226;9;0;60%;R$ 157
ZZ.SH.000 - CAMINHO PARA INDONESIA* - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 225;90;0;60%;R$ 132
ZZ.SW.000 - VENTOS UIVANTES - Z - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;2;2;R$ 225;76;0;60%;R$ 137
ZZ.SW.000 - PENA PRATEADA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;2;R$ 225;73;0;60%;R$ 136
ZZ.SV.000 - SAFIRA DA NOITE - C2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;3;3;R$ 225;53;0;60%;R$ 128
